"beta","beta_max","density_interfacial","gamma_ig","kappa_liquid","kappa_max_liquid","kappa_max_vapor","kappa_vapor","mu_liquid","mu_vapor","pressure_interfacial","pressure_relaxation_rate","temperature_interfacial","velocity_relaxation_rate","ObjectId","GlobalElementId","PedigreeElementId"
1.91042e-05,0.0524664,792.638,-0.000240125,0.0010768,33.5642,11.1791,0.00198216,0.00107849,0.00199155,7.10897e+06,0.00608025,518.265,7.38282e+07,0,1,1
7.33284e-07,0.0526047,792.64,-5.74064e-05,0.00102588,33.6062,11.1999,0.00120759,0.00102749,0.00121332,7.10882e+06,0.00608848,518.264,7.36975e+07,0,2,2
3.70688e-06,0.0527307,792.641,7.86252e-05,0.0009775,33.6463,11.2124,0.000737016,0.000979037,0.000740515,7.10875e+06,0.00609584,518.263,7.36162e+07,0,3,3
1.81994e-05,0.0528534,792.641,0.000185014,0.000931332,33.6844,11.22,0.000452913,0.000932798,0.000455067,7.10869e+06,0.00610333,518.263,7.35737e+07,0,4,4
3.95813e-05,0.0529778,792.642,0.000272369,0.000887456,33.7206,11.2245,0.000282478,0.000888854,0.000283824,7.10862e+06,0.0061115,518.262,7.35632e+07,0,5,5
6.38026e-05,0.053107,792.643,0.000347196,0.000845574,33.7551,11.2273,0.000180638,0.000846908,0.000181501,7.10856e+06,0.00612066,518.262,7.35802e+07,0,6,6
8.9898e-05,0.0532424,792.644,0.00041346,0.000805764,33.788,11.229,0.000119894,0.000807038,0.000120468,7.10849e+06,0.00613094,518.261,7.36213e+07,0,7,7
0.000115904,0.053385,792.645,0.000473582,0.000767757,33.8193,11.2301,8.3732e-05,0.000768973,8.41338e-05,7.10842e+06,0.0061424,518.26,7.36842e+07,0,8,8
0.00014209,0.053535,792.646,0.00052905,0.000731627,33.849,11.2307,6.21898e-05,0.000732788,6.24891e-05,7.10835e+06,0.00615504,518.26,7.37669e+07,0,9,9
0.000167243,0.0536925,792.647,0.000580795,0.000697128,33.8773,11.2312,4.93948e-05,0.000698236,4.96332e-05,7.10829e+06,0.00616883,518.259,7.38678e+07,0,10,10
0.000192059,0.0538574,792.648,0.000629412,0.000664329,33.9043,11.2316,4.17689e-05,0.000665388,4.19711e-05,7.10822e+06,0.00618371,518.258,7.39855e+07,0,11,11
