"Tw","alpha_A_liquid","alpha_liquid","alpha_rhoE_A_liquid","alpha_rhoE_A_vapor","alpha_rho_A_liquid","alpha_rho_A_vapor","alpha_rhou_A_liquid","alpha_rhou_A_vapor","alpha_vapor","area","density_liquid","density_vapor","enthalpy_liquid","enthalpy_vapor","heat_flux_perimeter","heat_transfer_coefficient_liquid","heat_transfer_coefficient_vapor","hydraulic_diameter","internal_energy_liquid","internal_energy_vapor","momentum_liquid","momentum_vapor","pressure_liquid","pressure_vapor","temperature_liquid","temperature_vapor","total_energy_liquid","total_energy_vapor","total_enthalpy_flux","total_mass_flux","velocity_liquid","velocity_vapor","void_averaged_density","void_averaged_total_energy","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
550,0.16073,0.5,131673,12764.4,0.127647,0.00497883,0.344723,0.013446,0.5,0.00032146,794.168,30.9763,1.04049e+06,2.79323e+06,0.0314159,100000,100000,0.0409296,8.19212e+08,7.94147e+07,2144.73,83.656,7.10875e+06,7.10908e+06,517.267,513.194,8.19215e+08,7.94148e+07,1.23262e+09,1114.19,2.7006,2.70064,412.572,4.49315e+08,1,1,0,0,0
550,0.160701,0.499909,132030,12719.6,0.127297,0.00495661,0.344749,0.0134238,0.500091,0.00032146,792.133,30.8325,1.04616e+06,2.79676e+06,0.0314159,100000,100000,0.0409296,8.21587e+08,7.91221e+07,2145.29,83.5024,7.10885e+06,7.10885e+06,518.595,515.572,8.2159e+08,7.91223e+07,1.23874e+09,1114.21,2.70824,2.70826,411.414,4.50288e+08,2,2,0.0388,0,0
550,0.1607,0.499905,132391,12691.6,0.126986,0.00494279,0.344753,0.0134192,0.500095,0.00032146,790.205,30.7463,1.05156e+06,2.7989e+06,0.0314159,100000,100000,0.0409296,8.23837e+08,7.89471e+07,2145.32,83.4734,7.10879e+06,7.10879e+06,519.861,517.012,8.2384e+08,7.89472e+07,1.2446e+09,1114.2,2.7149,2.71491,410.404,4.51323e+08,3,3,0.0776,0,0
550,0.160694,0.499888,132729,12675.2,0.126687,0.00493468,0.344747,0.0134285,0.500112,0.00032146,788.376,30.6948,1.05671e+06,2.80019e+06,0.0314159,100000,100000,0.0409296,8.25971e+08,7.88423e+07,2145.36,83.5281,7.10872e+06,7.10872e+06,521.067,517.876,8.25974e+08,7.88424e+07,1.25023e+09,1114.21,2.72124,2.72125,409.451,4.52325e+08,4,4,0.1164,0,0
550,0.160666,0.499802,133031,12667.3,0.126387,0.00493057,0.344725,0.0134484,0.500198,0.00032146,786.642,30.6639,1.06161e+06,2.80096e+06,0.0314159,100000,100000,0.0409296,8.27995e+08,7.87796e+07,2145.6,83.6375,7.10865e+06,7.10865e+06,522.215,518.391,8.27998e+08,7.87797e+07,1.25562e+09,1114.21,2.72754,2.72755,408.503,4.53241e+08,5,5,0.1552,0,0
550,0.160606,0.499615,133290,12666,0.126075,0.00492945,0.344699,0.0134775,0.500385,0.00032146,784.997,30.6455,1.06628e+06,2.80141e+06,0.0314159,100000,100000,0.0409296,8.29915e+08,7.8742e+07,2146.23,83.7873,7.10859e+06,7.10859e+06,523.31,518.698,8.29918e+08,7.87421e+07,1.26081e+09,1114.22,2.73407,2.73408,407.531,4.54041e+08,6,6,0.194,0,0
550,0.16051,0.499315,133502,12669.9,0.125749,0.00493063,0.344661,0.0135142,0.500685,0.00032146,783.436,30.6345,1.07073e+06,2.80168e+06,0.0314159,100000,100000,0.0409296,8.31737e+08,7.87195e+07,2147.29,83.9651,7.10852e+06,7.10852e+06,524.352,518.88,8.31739e+08,7.87196e+07,1.26579e+09,1114.21,2.74086,2.74087,406.52,4.54714e+08,7,7,0.2328,0,0
550,0.160374,0.498894,133667,12678.4,0.125406,0.00493371,0.344619,0.0135581,0.501106,0.00032146,781.956,30.6279,1.07497e+06,2.80184e+06,0.0314159,100000,100000,0.0409296,8.33464e+08,7.87058e+07,2148.84,84.1667,7.10845e+06,7.10846e+06,525.345,518.987,8.33467e+08,7.8706e+07,1.27058e+09,1114.22,2.74803,2.74804,405.461,4.55252e+08,8,8,0.2716,0,0
550,0.1602,0.498353,133784,12690.8,0.125045,0.00493839,0.344568,0.0136081,0.501647,0.00032146,780.551,30.6238,1.079e+06,2.80194e+06,0.0314159,100000,100000,0.0409296,8.35103e+08,7.86975e+07,2150.85,84.386,7.10838e+06,7.10839e+06,526.29,519.051,8.35106e+08,7.86976e+07,1.27517e+09,1114.21,2.75556,2.75557,404.352,4.55656e+08,9,9,0.3104,0,0
550,0.159988,0.497692,133856,12706.6,0.124666,0.00494449,0.344513,0.0136641,0.502308,0.00032146,779.219,30.6213,1.08284e+06,2.80199e+06,0.0314159,100000,100000,0.0409296,8.36657e+08,7.86923e+07,2153.37,84.6223,7.10831e+06,7.10832e+06,527.19,519.088,8.3666e+08,7.86924e+07,1.2796e+09,1114.22,2.7635,2.76351,403.192,4.55927e+08,10,10,0.3492,0,0
