"density_aux","exact_rho_aux","Points:0","Points:1","Points:2"
1.22207,1.22221,0.464209,0.29838,0
1.22216,1.22221,0.464543,0.273177,0
1.22217,1.22221,0.493089,0.27527,0
1.22232,1.22221,0.492788,0.30024,0
1.22205,1.22221,0.464877,0.247975,0
1.22193,1.22221,0.493389,0.250301,0
1.22405,1.22221,0.521902,0.252626,0
1.22183,1.22221,0.521635,0.277364,0
1.26222,1.22221,0.522436,0.203152,0
1.24151,1.22221,0.49399,0.200361,0
1.27376,1.22221,0.494291,0.175391,0
1.30888,1.22221,0.522703,0.178414,0
1.2221,1.22221,0.234375,0.33762,0
1.22213,1.22221,0.234976,0.310557,0
1.22231,1.22221,0.263588,0.312185,0
1.22233,1.22221,0.263021,0.339016,0
1.86189,2.28132,-0.0853365,-0.395633,0
1.66242,1.22221,-0.0863381,-0.365779,0
1.57249,1.22221,-0.114247,-0.372458,0
1.76478,2.28132,-0.1132,-0.402571,0
1.22223,1.22221,0.231971,0.445873,0
1.22211,1.22221,0.232572,0.41881,0
1.22241,1.22221,0.261318,0.419508,0
1.22225,1.22221,0.260751,0.446339,0
1.22201,1.22221,0.233173,0.391747,0
1.22238,1.22221,0.261886,0.392677,0
2.25459,2.28132,0.526709,-0.192646,0
2.26126,2.28132,0.526442,-0.167908,0
2.26208,2.28132,0.498498,-0.174189,0
2.25406,2.28132,0.498798,-0.199158,0
2.26796,2.28132,0.526175,-0.143171,0
2.26821,2.28132,0.498197,-0.149219,0
1.22213,1.22221,-0.319515,-0.310988,0
1.22194,1.22221,-0.320503,-0.279876,0
1.22184,1.22221,-0.350917,-0.280541,0
1.22215,1.22221,-0.34994,-0.311791,0
1.22228,1.22221,0.230769,0.5,0
1.22225,1.22221,0.23137,0.472937,0
1.22214,1.22221,0.260183,0.473169,0
1.22206,1.22221,0.259615,0.5,0
1.22188,1.22221,-0.321402,-0.248953,0
1.22184,1.22221,-0.291383,-0.247601,0
1.2219,1.22221,-0.292615,-0.216126,0
1.22199,1.22221,-0.322545,-0.217507,0
1.22224,1.22221,-0.337903,0.250349,0
1.2222,1.22221,-0.367272,0.250182,0
1.22219,1.22221,-0.366331,0.219008,0
1.22212,1.22221,-0.336923,0.219252,0
1.22224,1.22221,-0.393049,0.125044,0
1.22223,1.22221,-0.363408,0.125273,0
1.22215,1.22221,-0.3644,0.156555,0
1.22221,1.22221,-0.393971,0.156337,0
1.22231,1.22221,0.492488,0.32521,0
1.22213,1.22221,0.463876,0.323582,0
1.22208,1.22221,0.520299,0.401051,0
1.2223,1.22221,0.491587,0.40012,0
1.22241,1.22221,0.491887,0.37515,0
1.22198,1.22221,0.520566,0.376313,0
1.22186,1.22221,-0.351817,-0.249455,0
1.22229,1.22221,-0.378653,-0.374898,0
